tweet_id, tweet_time, tweet_author, tweet_author_id,    tweet_language, tweet_geo, tweet_text
624495129303351296,Fri Jul 24 08:23:36 +0000 2015,CCIParis_Export,115376341,en,,#FollowFriday @France_Inte @PKuchly57 @Milipol_Paris for being top engaged members in my community this week :)
624495128510656513,Fri Jul 24 08:23:35 +0000 2015,FatFace,20438255,en,,@Lamb2ja Hey James! How odd :/ Please call our Contact Centre on 02392441234 and we will be able to assist you :) Many thanks!
624495126535106560,Fri Jul 24 08:23:35 +0000 2015,ceiling_goth,181935603,en,,@DespiteOfficial we had a listen last night :) As You Bleed is an amazing track. When are you in Scotland?!
624495126170238976,Fri Jul 24 08:23:35 +0000 2015,OHMYCLlFFORD,714894043,en,,@97sides CONGRATS :)
624495124148391936,Fri Jul 24 08:23:34 +0000 2015,iwajidshaikh,2689938422,en,,yeaaaah yippppy!!!  my accnt verified rqst has succeed got a blue tick mark on my fb profile :) in 15 days
624495123343118337,Fri Jul 24 08:23:34 +0000 2015,Priyarathod2468,2724097218,en,,"@BhaktisBanter @PallaviRuhail This one is irresistible :)
#FlipkartFashionFriday http://t.co/EbZ0L2VENM"
624495122982408192,Fri Jul 24 08:23:34 +0000 2015,LWWF_Official,199655817,en,,We don't like to keep our lovely customers waiting for long! We hope you enjoy! Happy Friday! - LWWF :) https://t.co/smyYriipxI
624495122974019584,Fri Jul 24 08:23:34 +0000 2015,uptickr,3044107648,en,,"@Impatientraider On second thought, there’s just not enough time for a DD :) But new shorts entering system. Sheep must be buying."
624495122814599168,Fri Jul 24 08:23:34 +0000 2015,diosa_dmp,2662162562,en,,"Jgh , but we have to go to Bayan :D bye"
624495122789498880,Fri Jul 24 08:23:34 +0000 2015,felixleong,15928425,en,,"As an act of mischievousness, am calling the ETL layer of our in-house warehousing app Katamari.

Well… as the name implies :p."
624495121850089472,Fri Jul 24 08:23:34 +0000 2015,CCIParis_Export,115376341,en,,#FollowFriday @wncer1 @Defense_gouv for being top influencers in my community this week :)
624495120662949888,Fri Jul 24 08:23:33 +0000 2015,MargaretHemcein,118409543,en,,Who Wouldn't Love These Big....Juicy....Selfies :) - http://t.co/QVzjgd1uFo http://t.co/oWBL11eQRY
624495119589203968,Fri Jul 24 08:23:33 +0000 2015,jnlazts,2524861862,en,,@Mish23615351  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :)
624495117919981568,Fri Jul 24 08:23:33 +0000 2015,RiuHoteles,28314202,en,,"@jjulieredburn Perfect, so you already know what's waiting for you :)"
624495117009682432,Fri Jul 24 08:23:33 +0000 2015,TRexTriathlon,528211710,en,,Great new opportunity for junior triathletes aged 12 and 13 at the Gatorade series! Get your entries in :) http://t.co/of3DyOzML0
624495116170981376,Fri Jul 24 08:23:32 +0000 2015,pressfordesign,243822601,en,,Laying out a greetings card range for print today - love my job :-)
624495116112297984,Fri Jul 24 08:23:32 +0000 2015,inshamir6,2388452297,en,,"Friend's lunch... yummmm :)
#Nostalgia #TBS #KU."
624495115298435072,Fri Jul 24 08:23:32 +0000 2015,Jalysho,2314669687,en,,@RookieSenpai @arcadester it is the id conflict thanks for the help :D here's the screenshot of it working
624495113465540608,Fri Jul 24 08:23:32 +0000 2015,THE_KURZE,1582531610,en,,@oohdawg_ Hi liv :))
624495112656158720,Fri Jul 24 08:23:32 +0000 2015,tiana_1D_xx,602547020,en,,Hello I need to know something can u fm me on Twitter?? — sure thing :) dm me x http://t.co/W6Dy130BV7
624495112089923584,Fri Jul 24 08:23:31 +0000 2015,CCIParis_Export,115376341,en,,#FollowFriday @MBandScott_ @Eric_FLE @pointsolutions3 for being top new followers in my community this week :)
624495110751952896,Fri Jul 24 08:23:31 +0000 2015,mattjlawrence,148719117,en,,"@rossbreadmore I've heard the Four Seasons is pretty dope. Penthouse, obvs #Gobigorgohome
Have fun y'all :)"
624495110546456577,Fri Jul 24 08:23:31 +0000 2015,DearYootha,487018095,en,,@gculloty87 Yeah I suppose she was lol! Chat in a bit just off out x :))
624495110500282368,Fri Jul 24 08:23:31 +0000 2015,grade12jobs,2871898541,en,,Hello :) Get Youth Job Opportunities follow &gt;&gt; @tolajobjobs @maphisa301
624495109749366784,Fri Jul 24 08:23:31 +0000 2015,mmmaadddiiieee,2962468500,en,,💅🏽💋 - :)))) haven't seen you in years
624495108700946432,Fri Jul 24 08:23:31 +0000 2015,smoaked_dcu,2860551177,en,,@Bosslogic @amellywood @CW_Arrow @ARROWwriters Thank you! :-)
624495108583489536,Fri Jul 24 08:23:31 +0000 2015,AmySward,1412778302,en,,@johngutierrez1 hope the rest of your night goes by quickly... I am off to bed... got my music fix and now it is time to dream  :)
624495107019026432,Fri Jul 24 08:23:30 +0000 2015,DjAlphatrance,1484458118,en,,"Spiritual Ritual Festival (Népal)
Beginning of Line-up :)
It is left for the line-up (y)
See more at:... http://t.co/QMNz62OEuc"
624495106947727360,Fri Jul 24 08:23:30 +0000 2015,Bitdefender,8717312,en,,@ke7zum Hey Sarah! Send us an email at bitsy@bitdefender.com and we'll help you asap :)
624495106863800320,Fri Jul 24 08:23:30 +0000 2015,shakeelhapiz,573849924,en,,@izzkamilhalda lols. :D
624495106347958273,Fri Jul 24 08:23:30 +0000 2015,aliciadbm28,3239904114,en,,MY kik - hatessuce32429 #kik #kikme #lgbt #tinder #nsfw #akua #cumshot :) http://t.co/TnHJD36yzf
624495105714421760,Fri Jul 24 08:23:30 +0000 2015,mayaaortegaa,1214227670,en,,@KalinWhite come to my house :)))))
624495104615706624,Fri Jul 24 08:23:30 +0000 2015,GoodTips007,3289000191,en,,"#nsn_supplements, Effective press release distribution with results! :) [link removed] #PressRelease #NewsDistribution"
624495104376598528,Fri Jul 24 08:23:30 +0000 2015,dreamlondon1D,1163637968,en,,"Hi BAM ! @BarsAndMelody 
Can you follow my bestfriend @969Horan696 ? 
She loves you a lot :) 
See you in Warsaw &lt;3 
Love you &lt;3 x46"
624495103269167104,Fri Jul 24 08:23:29 +0000 2015,WeritaBaby,128047102,en,,everyone watch the documentary Earthlings on YouTube :-)
624495102883311616,Fri Jul 24 08:23:29 +0000 2015,jnlazts,2524861862,en,,@jamiefigsxx  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :)
624495102480764928,Fri Jul 24 08:23:29 +0000 2015,CCIParis_Export,115376341,en,,#FollowFriday @MichelBauza @InvataOnline for being top supports in my community this week :)
624495102480683008,Fri Jul 24 08:23:29 +0000 2015,_xbdbxo,2265283778,en,,buuuuuuuut oh well :-)
624495101532876800,Fri Jul 24 08:23:29 +0000 2015,midsfoodblogger,174627558,en,,@leisuremarkltd @NoshandQuaff @aktarislam @keanebrands @HeritageSilver I am looking forward to visiting next week #letsgetmessy Jo :-)
624495101092323328,Fri Jul 24 08:23:29 +0000 2015,suzybaemeplz,3170716296,en,,@sehunshinedaily if it makes u feel better i never have nor will see anyone in kpop in the flesh :D
624495100857597952,Fri Jul 24 08:23:29 +0000 2015,MandasueHeller,180799023,en,,"@Joyster2012 @CathStaincliffe Good for you, girl!! Best wishes :-)"
624495100744343552,Fri Jul 24 08:23:29 +0000 2015,Shiroth,63947506,en,,@_Kimimi A great enough reason to listen to one epic soundtrack. :D
624495100115189760,Fri Jul 24 08:23:29 +0000 2015,WoofWoofNetwork,1119971875,en,,@AquaDesignGroup Thank you for the shout out. Have a great Friday :)
624495100048097280,Fri Jul 24 08:23:29 +0000 2015,yukinaderu,2402513672,en,,I added a video to a @YouTube playlist http://t.co/yzpfsMxUq0 im back on twitch and today it going to be league :) - 1 / 4
624495099951476737,Fri Jul 24 08:23:29 +0000 2015,HsnHamad,244714611,en,,Would love to see you dear in #Jordan :) waiting you! @FIRDOZ  :) @VisitJordan @dannyprol
624495099834036224,Fri Jul 24 08:23:29 +0000 2015,turishaa,54207243,en,,"@ABNORMAL_ANA92 oh, okay :D thanks!"
